source,author,title,category,description,url,urlToImage,publishedAt,content
Gizmodo.com,Lucas Ropek,"Despite Online MAGA Freakout About Her Jeans, Sydney Sweeney’s New Movie Bombs - Gizmodo",entertainment,Sometimes it's good to remember that the internet is not a real place.,https://gizmodo.com/despite-online-maga-freakout-about-her-jeans-sydney-sweeneys-new-movie-bombs-2000644565,https://gizmodo.com/app/uploads/2025/08/sydney-sweeney-and-donald-trump-1200x675.jpg,2025-08-18T21:30:42Z,"A couple of weeks ago, American Eagle launched a new ad campaign for its blue jeans line that featured actress Sydney Sweeney. In one of the ads, Sweeney weirdly broached the topic of genetics (she s… [+3868 chars]"
NBC News,Tim Stelloh,"'Ketamine Queen' to plead guilty in Matthew Perry's death, officials say - NBC News",entertainment,A California woman known as the “Ketamine Queen” has agreed to plead guilty to federal drug charges in connection with Matthew Perry’s fatal overdose two years ago,https://www.nbcnews.com/news/us-news/ketamine-queen-plead-guilty-matthew-perrys-death-officials-say-rcna225712,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-02/240219-matthew-perry-se-1210p-c9389a.jpg",2025-08-18T20:40:13Z,"A California woman known as the Ketamine Queen has agreed to plead guilty to federal drug charges in connection with Matthew Perrys fatal overdose two years ago.
Jasveen Sangha, 42, will plead guilt… [+2787 chars]"
Las Vegas Review-Journal,John Katsilometes,"Fake Justin Bieber banned by Strip resort, tagged with nearly $10K bill - Las Vegas Review-Journal",entertainment,A veteran Justin Bieber lookalike managed to take the stage at XS Nightclub on Saturday.,https://neon.reviewjournal.com/post/3319138,https://neon.reviewjournal.com/wp-content/uploads/2025/08/20779938_web1_AP22094101405693.jpg,2025-08-18T20:15:00Z,"This “JustinBieber” is a total fake.
A Bieber doppelganger took the stage and fooled a packed house at XS Nightclub at the Wynn on Saturday night. The individual verified on social media is Dylan De… [+5145 chars]"
NPR,,What we lose in the gamification of music - NPR,entertainment,Music shouldn't be treated like a game to master — it should be treated like something that affects and potentially changes you.,https://www.npr.org/2025/08/18/g-s1-83310/taylor-swift-the-life-of-a-showgirl-games,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/4000x2250+0+208/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F72%2F76%2F00c91b494b7caaa4d572ca3986cf%2Fgettyimages-2181083394.jpg,2025-08-18T20:00:08Z,"This essay first appeared in the NPR Music newsletter. Sign up for early access to articles like this one, listening recommendations and more.
Did you hear the noise enveloping the pop music world l… [+11649 chars]"
Deadline,Anthony D'Alessandro,Legendary In Talks For Global Theatrical Output Deal With Skydance-Owned Paramount: The Dish - Deadline,entertainment,"Legendary, the producers of Dune and Monsterverse movies, is in talks with the new Paramount being led by CEO David Ellison.",http://deadline.com/2025/08/paramount-legendary-deal-1236490935/,https://deadline.com/wp-content/uploads/2025/08/paramount-skydance-corporation-legendary-logos.jpg?w=1024,2025-08-18T19:23:00Z,EXCLUSIVE: Here’s another big deal that the new David Ellison-led Paramount is working on: Legendary is in talks for a new multi-picture global theatrical distribution deal (sans China) with the Melr… [+2118 chars]
Yahoo Entertainment,Favour Adegoke,Diddy's Daughters Humiliated As They Get Kicked Off Rollercoaster After 'Rude' Exchange With Conductor - yahoo.com,entertainment,"Sean ""Diddy"" Combs' twin daughters, Jessie and D'Lila Combs, were booted off a rollercoaster for allegedly refusing to put away their phones.",https://www.yahoo.com/entertainment/articles/diddys-daughters-humiliated-kicked-off-184556237.html,https://s.yimg.com/ny/api/res/1.2/Z2U7.O.GCsC.rPrtwceE6A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD01NTU7Y2Y9d2VicA--/https://media.zenfs.com/en/theblast_73/6d7c2cb5e43013bf7c8b675f4cbe7028,2025-08-18T18:45:56Z,"Sean ""Diddy"" Combs' twin daughters, Jessie and D'Lila Combs, were booted off a rollercoaster for allegedly refusing to heed the warnings of safety officers by putting away their phones.
Jessie and D… [+4999 chars]"
Hollywood Reporter,James Hibberd,"Chris Pratt Defends Some RFK Jr. Plans, Criticizes Polarized Views: “Be Reasonable” - The Hollywood Reporter",entertainment,"The Marvel star on his relationship with the controversial Health and Human Services Secretary and the blowback to some of his policies: ""I'd hate to be so mired in hatred for the president that any success is something I'd be having an allergic reaction to.""",http://www.hollywoodreporter.com/news/politics-news/chris-pratt-rfk-trump-interview-1236346978/,https://www.hollywoodreporter.com/wp-content/uploads/2024/05/Chris-Pratt-SiriusXM-Studio-Visit-GettyImages-2154298694-H-2024.jpg?w=1296&h=730&crop=1,2025-08-18T18:18:15Z,"Chris Pratt is defending his extended family member Robert F. Kennedy Jr. and tackling entrenched partisan political beliefs.
The Marvel and Jurassic World star was asked about RFK Jr. while appeari… [+3406 chars]"
Vogue,Elise Taylor,"Inside Forest Lodge, Prince William and Kate Middleton’s Grand New Windsor Home - Vogue",entertainment,"Prince William and Kate Middleton are moving into a Georgian house 
with marble fireplaces, a tennis court, and stucco pilasters.",https://www.vogue.com/article/forest-lodge-prince-william-kate-middleton-new-windsor-home,"https://assets.vogue.com/photos/68a3586196e34304cfec6a3a/16:9/w_1280,c_limit/1083723346",2025-08-18T17:47:03Z,"Moving day is officially approaching for Prince William and Kate Middleton.
Multiple outlets, including the Times of London, report that the Prince and Princess of Wales will soon live at Forest Lod… [+1141 chars]"
Hollywood Reporter,Borys Kit,"Kevin Costner, Jake Gyllenhaal to Star in ‘Honeymoon with Harry’ for Amazon MGM (Exclusive) - The Hollywood Reporter",entertainment,Glenn Ficarra and John Requa have now boarded the dramedy that Hollywood has tried to make for over 20 years.,http://www.hollywoodreporter.com/movies/movie-news/kevin-costner-jake-gyllenhaal-honeymoon-with-harry-1236347008/,https://www.hollywoodreporter.com/wp-content/uploads/2025/08/Kevin-Costner-Jake-Gyllenhaal-Split-Getty-H-2025.jpg?w=1296&h=730&crop=1,2025-08-18T17:33:54Z,"It’s been a courtship lasting over 20 years, but Honeymoon with Harry is one love story that Hollywood can’t quit.
Amazon MGM has landed the rights to the long-in-the-works feature dramedy, setting … [+2650 chars]"
Page Six,Kelsey Stewart,Selena Gomez’s lacy slip dress is under $50 — and fiancé Benny Blanco approves - Page Six,entertainment,"“Wait … i’m gonna marry u,” Blanco gushed in the comment section.",https://pagesix.com/2025/08/18/style/selena-gomezs-lacy-slip-dress-is-under-50-and-fiance-benny-blanco-approves/,https://pagesix.com/wp-content/uploads/sites/3/2025/08/selena-gomez-slip.jpg?quality=75&strip=all&w=1024,2025-08-18T17:31:00Z,"Selena Gomez posted a nighttime mirror selfie in an under-$50 lace slip. Selena Gomez/Instagram
Even billionaires love wallet-friendly finds. 
Such is the case with Selena Gomez, who posted a night… [+1635 chars]"
